TxnId,Browser,Device,Transaction_Type,City,State,Status,Merchant,Merchant_Category,Product_Category,Amount,Date and Time,Mode of Payment
TXN17271,IE,Windows PC,Refund,Begusarai,Bihar,Success,Apple,Electronics,iPad,179192.475,3/6/2016 1:08,Credit Card
TXN23826,IE,Windows Phone,Refund,Karimnagar,Telangana,Success,Vodafone,Utility,DTH,918.907987,4/6/2016 19:08,Net Banking
TXN22582,Chrome,iOS,Sale,Sri Ganganagar,Rajasthan,Success,Scootsy,Foodtech,Cafe,1767.21458,4/1/2016 10:08,Debit Card
TXN13707,Chrome,Windows PC,Refund,Dehradun,Uttarakhand,Success,Idea,Utility,DTH,1033.267616,2/19/2016 12:08,Wallet
TXN25946,Opera,Android,Refund,Tiruvottiyur,Tamil Nadu,Success,Fossil,Lifestyle,Watches,46802.94728,4/16/2016 12:08,Credit Card
TXN25635,UC Browser,Android,Sale,Vadodara,Gujarat,Failed,Dell,Electronics,Desktops,50594.60722,4/15/2016 12:08,Debit Card
TXN25467,Chrome,Windows Phone,Sale,Latur,Maharashtra,Success,SBI MF,Financial Products,Mutual Fund,117976.0503,4/14/2016 13:08,Debit Card
TXN17518,Mobile App,Android,Refund,Ahmedabad,Gujarat,Success,Big Basket,Grocery,Grocery,15305.90509,3/6/2016 20:08,Wallet
TXN10335,IE,Windows PC,Sale,Salem,Tamil Nadu,Success,Apple,Electronics,iPad,92196.72,2/3/2016 12:08,Wallet
TXN14345,UC Browser,Android,Refund,Bikaner,Rajasthan,Success,Swiggy,Foodtech,Cafe,527.5666639,2/21/2016 12:08,Credit Card
TXN19119,IE,Windows PC,Sale,New Delhi,Delhi,Failed,Puma,Lifestyle,Shoes,8643.880744,3/14/2016 21:08,Debit Card
TXN15524,Safari,Macintosh,Sale,Anantapur,Andhra Pradesh,Success,Scootsy,Foodtech,Cafe,5751.081,2/27/2016 12:08,Credit Card
TXN26594,Chrome,Android,Sale,Kochi,Kerala,Success,Religare Heath Insurance,Insurance,Health,74321.38167,4/18/2016 21:08,Credit Card
TXN17011,Chrome,Windows PC,Sale,Karnal,Haryana,Success,LIC ,Insurance,Life,25335.44986,3/5/2016 12:08,Net Banking
TXN10691,Chrome,Windows Phone,Sale,Bhilwara,Rajasthan,Success,Religare Heath Insurance,Insurance,Health,53165.98082,2/5/2016 10:08,Credit Card
TXN16310,UC Browser,Android,Sale,Bhopal,Madhya Pradesh,Success,AskMeGrocery,Grocery,Grocery,2953.749646,3/1/2016 20:08,Credit Card
TXN11088,Chrome,Windows Phone,Refund,Gandhinagar,Gujarat,Cancelled,Baniya Babu.com,Grocery,Grocery,8241.388771,2/6/2016 12:08,Net Banking
TXN13965,IE,Windows Phone,Sale,Ramagundam,Telangana,Success,Tata Sky,Utility,DTH,1471.75812,2/20/2016 12:08,Net Banking
TXN22392,Mobile App,Android,Sale,Bokaro,Jharkhand,Success,Amity University,Education,Online Course,75871.80288,3/31/2016 12:08,Credit Card
